checked_utc,dataset_category,question,condition_id,seconds_delay,minimum_order_size,minimum_tick_size,maker_base_fee,taker_base_fee,reward_min_size,reward_max_spread,token_id,outcome,best_bid,best_ask,midpoint,spread,spread_cents,best_bid_size,best_ask_size,best_bid_dollars,best_ask_dollars,levels_bid,levels_ask,within_bankroll_ask_shares
2026-09-16T04:19:25.296438+00:00,Valorant,Valorant: TEC Esports vs All Gamers - Map 1 Winner,0x96e48a99fc4cfbbe5d03fe5ae3f299a94c7d4eea4f3d6b1bf8a1775a70b9ac35,1,5,0.001,1000,1000,250,2.5,115451924207820637182256568646550953615416868685946515588275294892530062131937,TEC Esports,,0.997,,,,0.0,55555.0,0.0,55388.335,0,3,100.30090270812437
2026-09-16T04:19:25.582544+00:00,Valorant,Valorant: TEC Esports vs All Gamers - Map 1 Winner,0x96e48a99fc4cfbbe5d03fe5ae3f299a94c7d4eea4f3d6b1bf8a1775a70b9ac35,1,5,0.001,1000,1000,250,2.5,52227948669789433184630628822555784045041915123691716342520345466647570279605,All Gamers,0.003,,,,,55555.0,0.0,166.665,0.0,3,0,0.0
2026-09-16T04:19:26.160643+00:00,Esports (generic),Map 1: Odd/Even Total Kills?,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,5,0.01,1000,1000,50,4.5,444966130222062054613139364061298784566668089770007112016976056844298425523,Odd,0.02,0.99,0.505,0.97,97.0,600.0,5.0,12.0,4.95,2,1,101.01010101010101
2026-09-16T04:19:26.469356+00:00,Esports (generic),Map 1: Odd/Even Total Kills?,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,5,0.01,1000,1000,50,4.5,33827906345203192450315148777896920072060634804465817119010951921004793707402,Even,0.01,0.98,0.495,0.97,97.0,5.0,600.0,0.05,588.0,1,2,102.04081632653062
2026-09-16T04:19:26.978738+00:00,League of Legends,Series: Anyone's Legend Kill Handicap (-10.5) vs Weibo Gaming (+10.5),0x5e47746f9722b13a5a1a32dce9315a86132aea8991defcc68f91be89076175cb,1,5,0.001,1000,1000,20,3.5,85092868101121423407560224107734653218181890940629582978063028843732856573247,Anyone's Legend,0.05,,,,,207.48,0.0,10.374,0.0,6,0,0.0
2026-09-16T04:19:27.223711+00:00,League of Legends,Series: Anyone's Legend Kill Handicap (-10.5) vs Weibo Gaming (+10.5),0x5e47746f9722b13a5a1a32dce9315a86132aea8991defcc68f91be89076175cb,1,5,0.001,1000,1000,20,3.5,31026285089477261431374961196935189940376947237793321826365194168685862357092,Weibo Gaming,,0.95,,,,0.0,207.48,0.0,197.106,0,6,105.26315789473685
2026-09-16T04:19:27.794641+00:00,Premier League,Chelsea FC vs. Hull City AFC: Total Corners Odd or Even?,0xde01940402776be5c8d2675d878f11a60f633758586e40723580539a39852c90,1,5,0.001,1000,1000,50,4.5,102767880820195603696125126786581110951617564773718866171829609613033790776238,Odd,,,,,,0.0,0.0,0.0,0.0,0,0,0.0
2026-09-16T04:19:28.048164+00:00,Premier League,Chelsea FC vs. Hull City AFC: Total Corners Odd or Even?,0xde01940402776be5c8d2675d878f11a60f633758586e40723580539a39852c90,1,5,0.001,1000,1000,50,4.5,24680572034034421482519585381643153192515594610359420636845862491967946950124,Even,,,,,,0.0,0.0,0.0,0.0,0,0,0.0
2026-09-16T04:19:28.547971+00:00,MLS,Will Seattle Sounders FC win on 2026-04-12?,0x35c84a4eec596ca623c2d5e674de271dd4883f28a758c1ce6b2b90f453ee2d88,1,5,0.01,1000,1000,50,4.5,45449095624845083925429639167157282791258305996635407140970056627935819175173,Yes,0.3,0.64,0.47,0.34,34.0,9.39,34.85,2.817,22.304000000000002,25,22,156.25
2026-09-16T04:19:28.844595+00:00,MLS,Will Seattle Sounders FC win on 2026-04-12?,0x35c84a4eec596ca623c2d5e674de271dd4883f28a758c1ce6b2b90f453ee2d88,1,5,0.01,1000,1000,50,4.5,104549460968283805304419742160581686294515018752169461240367629525345789437681,No,0.36,0.7,0.53,0.33999999999999997,34.0,34.85,9.39,12.546,6.573,22,25,142.85714285714286
2026-09-16T04:19:29.488298+00:00,UFC,O/U 2.5 Rounds,0x73a83dd306c731a81dbb69208cf2fcbe8888e99659eb6b0ce1cb4b22ba2dbf25,1,5,0.001,1000,1000,50,4.5,115183980311029626185511954107668633874082634565338602314363132615301514372340,Over,0.99,,,,,320.0,0.0,316.8,0.0,12,0,0.0
2026-09-16T04:19:29.731051+00:00,UFC,O/U 2.5 Rounds,0x73a83dd306c731a81dbb69208cf2fcbe8888e99659eb6b0ce1cb4b22ba2dbf25,1,5,0.001,1000,1000,50,4.5,29810279867155730772036784791018808001215237642968254526040362222044154375955,Under,,0.01,,,,0.0,320.0,0.0,3.2,0,12,10000.0
2026-09-16T04:19:30.353829+00:00,NFL,Will the Cardinals win the season series against the Rams during the 2026-27 NFL regular season?,0x6027c3503c7ffb751aab27f029880ce3db6d547de175c634bfb6b6e18fd29389,0,5,0.001,1000,1000,20,4.5,27693986515397927067908168805162245688578039897167181996630714366976099001174,Yes,0.003,0.082,0.0425,0.079,7.9,100.0,49.4,0.3,4.0508,3,7,1219.5121951219512
2026-09-16T04:19:30.636193+00:00,NFL,Will the Cardinals win the season series against the Rams during the 2026-27 NFL regular season?,0x6027c3503c7ffb751aab27f029880ce3db6d547de175c634bfb6b6e18fd29389,0,5,0.001,1000,1000,20,4.5,7789805073362529089162188706203195794341727601338005607690143720131283681248,No,0.918,0.997,0.9575,0.07899999999999996,7.899999999999996,49.4,100.0,45.3492,99.7,7,3,100.30090270812437
2026-09-16T04:19:31.235267+00:00,Ligue 1,Will AS Monaco FC win on 2026-09-18?,0x2fb3d1ba60d0703c61bb755be21434122862b6e38e540659056d5383de12152e,1,5,0.01,1000,1000,50,4.5,20331241640889215790131893074421349115528589214818723929271039428901524970584,Yes,0.47,0.48,0.475,0.010000000000000009,1.0000000000000009,941.4,8277.26,442.45799999999997,3973.0848,24,24,208.33333333333334
2026-09-16T04:19:31.483942+00:00,Ligue 1,Will AS Monaco FC win on 2026-09-18?,0x2fb3d1ba60d0703c61bb755be21434122862b6e38e540659056d5383de12152e,1,5,0.01,1000,1000,50,4.5,103128397046222506462542104318145265975821870806572611880100301755869074188589,No,0.52,0.53,0.525,0.010000000000000009,1.0000000000000009,8277.26,941.4,4304.175200000001,498.942,24,24,188.67924528301887
2026-09-16T04:19:32.322527+00:00,Champions League,Will Kylian Mbappé win the most Player of the Match awards in the 2026-27 UEFA Champions League?,0x1d64e020de1c9d56144e066000e64e67e0471b4e82c36a9cdfe37a910077831d,0,5,0.01,1000,1000,20,4.5,41437091091211084747104021122398927008661453919705862359237958531423820965176,Yes,0.11,0.56,0.335,0.45000000000000007,45.00000000000001,5.0,40.0,0.55,22.400000000000002,3,15,178.57142857142856
2026-09-16T04:19:32.607040+00:00,Champions League,Will Kylian Mbappé win the most Player of the Match awards in the 2026-27 UEFA Champions League?,0x1d64e020de1c9d56144e066000e64e67e0471b4e82c36a9cdfe37a910077831d,0,5,0.01,1000,1000,20,4.5,63993394546693722554731438310159593291510541889179276221480498551004588422736,No,0.44,0.89,0.665,0.45,45.0,40.0,5.0,17.6,4.45,15,3,112.35955056179775
2026-09-16T04:19:33.159835+00:00,La Liga,Will RC Deportivo A Coruña win on 2026-09-16?,0x499f114dd4e1e3412ce337c8ffe7b2c4d32fe23fc541e6977cb6ad2b482aa466,1,5,0.01,1000,1000,50,4.5,5577072371068070714459336990402824595358133343141263770220380417555958650912,Yes,0.37,0.38,0.375,0.010000000000000009,1.0000000000000009,12767.29,49373.7,4723.8973000000005,18762.005999999998,29,48,263.1578947368421
2026-09-16T04:19:33.410151+00:00,La Liga,Will RC Deportivo A Coruña win on 2026-09-16?,0x499f114dd4e1e3412ce337c8ffe7b2c4d32fe23fc541e6977cb6ad2b482aa466,1,5,0.01,1000,1000,50,4.5,88444905154720407326332115338776212794285620618956369214761655053860290983862,No,0.62,0.63,0.625,0.010000000000000009,1.0000000000000009,49373.7,12767.29,30611.694,8043.3927,48,29,158.73015873015873
2026-09-16T04:19:34.030486+00:00,Serie A,Will Atalanta win the 2026-27 Serie A Championship?,0xd0c8d573e4ef858fc5baa7cf53f8d83e89f3cd01127df9ab5e79c2c7d8894f45,0,5,0.001,1000,1000,50,4.5,91143514965090680884386672505856329057977980150353843348039495404655021678989,Yes,0.012,0.013,0.0125,0.0009999999999999992,0.09999999999999992,45.59,1219.99,0.54708,15.859869999999999,12,72,7692.307692307692
2026-09-16T04:19:34.282046+00:00,Serie A,Will Atalanta win the 2026-27 Serie A Championship?,0xd0c8d573e4ef858fc5baa7cf53f8d83e89f3cd01127df9ab5e79c2c7d8894f45,0,5,0.001,1000,1000,50,4.5,20087997519124468893218270369259672010801632728552777893611731820656171189439,No,0.987,0.988,0.9875,0.0010000000000000009,0.10000000000000009,1219.99,45.59,1204.13013,45.04292,72,12,101.21457489878543
2026-09-16T04:19:34.976783+00:00,Bundesliga,Will FC Bayern München win on 2026-09-18?,0x45c738d344ec615edefd4e35f8999be72f6b454c6c0b3f5102d1a13c37ce8ba6,1,5,0.01,1000,1000,50,4.5,18063892165563136891286975962051256097590482817303847631557437815876853731343,Yes,0.91,0.92,0.915,0.010000000000000009,1.0000000000000009,59393.34,3310.39,54047.939399999996,3045.5588,26,8,108.69565217391303
2026-09-16T04:19:35.235792+00:00,Bundesliga,Will FC Bayern München win on 2026-09-18?,0x45c738d344ec615edefd4e35f8999be72f6b454c6c0b3f5102d1a13c37ce8ba6,1,5,0.01,1000,1000,50,4.5,114830274262414238497410728549286250584475951111960867542111553086753728412774,No,0.08,0.09,0.08499999999999999,0.009999999999999995,0.9999999999999996,3310.39,59393.34,264.83119999999997,5345.4006,8,26,1111.111111111111
2026-09-16T04:19:35.826012+00:00,EPL,Chelsea FC vs. Hull City AFC: Total Corners Odd or Even?,0xde01940402776be5c8d2675d878f11a60f633758586e40723580539a39852c90,1,5,0.001,1000,1000,50,4.5,102767880820195603696125126786581110951617564773718866171829609613033790776238,Odd,,,,,,0.0,0.0,0.0,0.0,0,0,0.0
2026-09-16T04:19:36.364392+00:00,EPL,Chelsea FC vs. Hull City AFC: Total Corners Odd or Even?,0xde01940402776be5c8d2675d878f11a60f633758586e40723580539a39852c90,1,5,0.001,1000,1000,50,4.5,24680572034034421482519585381643153192515594610359420636845862491967946950124,Even,,,,,,0.0,0.0,0.0,0.0,0,0,0.0
2026-09-16T04:19:36.914525+00:00,Baseball,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,5,0.01,1000,1000,1000,2.5,100908591883819936055197348924261051691111832911329162096147836183386449626868,Tampa Bay Rays,0.42,0.43,0.425,0.010000000000000009,1.0000000000000009,376901.52,4906.59,158298.6384,2109.8337,23,28,232.55813953488374
2026-09-16T04:19:37.751190+00:00,Baseball,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,5,0.01,1000,1000,1000,2.5,71543442915818071346252945085377787013257591065787605167141597147053881246459,New York Yankees,0.57,0.58,0.575,0.010000000000000009,1.0000000000000009,4906.59,376901.52,2796.7563,218602.8816,28,23,172.41379310344828
2026-09-16T04:19:38.314836+00:00,Football,Will the Cardinals win the season series against the Rams during the 2026-27 NFL regular season?,0x6027c3503c7ffb751aab27f029880ce3db6d547de175c634bfb6b6e18fd29389,0,5,0.001,1000,1000,20,4.5,27693986515397927067908168805162245688578039897167181996630714366976099001174,Yes,0.003,0.082,0.0425,0.079,7.9,100.0,49.4,0.3,4.0508,3,7,1219.5121951219512
2026-09-16T04:19:38.578547+00:00,Football,Will the Cardinals win the season series against the Rams during the 2026-27 NFL regular season?,0x6027c3503c7ffb751aab27f029880ce3db6d547de175c634bfb6b6e18fd29389,0,5,0.001,1000,1000,20,4.5,7789805073362529089162188706203195794341727601338005607690143720131283681248,No,0.918,0.997,0.9575,0.07899999999999996,7.899999999999996,49.4,100.0,45.3492,99.7,7,3,100.30090270812437
2026-09-16T04:19:39.097094+00:00,Basketball,Will LeBron James retire before next NBA season?,0x73057b771600660ac6e659c5b831587fd3bdd378e63f359731aa3e1538577fb0,0,5,0.001,1000,1000,50,4.5,93899316926271869920456375862370520960408256763360958310639371758093650988742,Yes,0.012,0.021,0.0165,0.009000000000000001,0.9000000000000001,40.0,1789.01,0.48,37.569210000000005,11,30,4761.9047619047615
2026-09-16T04:19:39.389193+00:00,Basketball,Will LeBron James retire before next NBA season?,0x73057b771600660ac6e659c5b831587fd3bdd378e63f359731aa3e1538577fb0,0,5,0.001,1000,1000,50,4.5,37219771566408969144411068933461010362610308197111804081679842739542033488139,No,0.979,0.988,0.9835,0.009000000000000008,0.9000000000000008,1789.01,40.0,1751.4407899999999,39.519999999999996,30,11,101.21457489878543
2026-09-16T04:19:40.255843+00:00,Rugby,Will Harlequins win?,0x25cd64d826b999c14f8196a5c3465518a5b279f7540d4c8ae1ffc8bcee3ae82a,1,5,0.01,1000,1000,50,4.5,79166755190184794943452182746338531872201501273922319004018128702916210049992,Yes,0.03,0.75,0.39,0.72,72.0,13.84,30.0,0.41519999999999996,22.5,3,5,133.33333333333334
2026-09-16T04:19:40.556347+00:00,Rugby,Will Harlequins win?,0x25cd64d826b999c14f8196a5c3465518a5b279f7540d4c8ae1ffc8bcee3ae82a,1,5,0.01,1000,1000,50,4.5,54542282686502948425249703035393028895333199233630262665698963775000958603405,No,0.25,0.97,0.61,0.72,72.0,30.0,13.84,7.5,13.4248,5,3,103.09278350515464
2026-09-16T04:19:41.118413+00:00,WNBA,Connecticut Sun vs. Atlanta Dream,0x05825635204dca215b585bf6d7e80d9bdfaf572dc8e94d76ed3b08072f5dda48,1,5,0.01,1000,1000,50,4.5,104861489835843814463413937863538222467203999957947601546117275386834053048395,Connecticut Sun,0.09,0.1,0.095,0.010000000000000009,1.0000000000000009,1785.89,83.38,160.7301,8.338,9,25,1000.0
2026-09-16T04:19:41.435973+00:00,WNBA,Connecticut Sun vs. Atlanta Dream,0x05825635204dca215b585bf6d7e80d9bdfaf572dc8e94d76ed3b08072f5dda48,1,5,0.01,1000,1000,50,4.5,97840505971958509874317709907559031802368664799133760295482645772026347660934,Atlanta Dream,0.9,0.91,0.905,0.010000000000000009,1.0000000000000009,83.38,1785.89,75.042,1625.1599,25,9,109.89010989010988
2026-09-16T04:19:41.984342+00:00,MLB,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,5,0.01,1000,1000,1000,2.5,100908591883819936055197348924261051691111832911329162096147836183386449626868,Tampa Bay Rays,0.42,0.43,0.425,0.010000000000000009,1.0000000000000009,376901.52,4906.59,158298.6384,2109.8337,23,28,232.55813953488374
2026-09-16T04:19:42.230958+00:00,MLB,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,5,0.01,1000,1000,1000,2.5,71543442915818071346252945085377787013257591065787605167141597147053881246459,New York Yankees,0.57,0.58,0.575,0.010000000000000009,1.0000000000000009,4906.59,376901.52,2796.7563,218602.8816,28,23,172.41379310344828
