n,winrate,logloss,brier,auc,cal_slope,mean_p,n_odds,winrate_odds_games,mkt_winrate,logloss_vs_mkt,corr_with_mkt,bet_bets,bet_bet_rate,bet_bet_winrate,bet_flat_roi,bet_flat_pnl,bet_kelly_roi,bet_kelly_growth,bet_avg_dec,model,season,train_games
272,0.6764705882352942,0.6267521871178243,0.21849974696018867,0.6972251108313722,0.9702499122008654,0.5519312700154654,272,0.6764705882352942,0.6764705882352942,0.0,1.0,0,,,,,,,,market,2023,1823
272,0.5625,0.6776503961044549,0.24218819502172248,0.5934541076022112,0.6914132158428618,0.5383391547577943,272,0.5625,0.6764705882352942,0.050898208986630555,0.7383535934657703,215,0.7904411764705882,0.3116279069767442,-0.08744080595063236,-18.799773279385956,-0.15359535425364376,-0.7558261769632459,3.2655455525114596,log5_wpct,2023,1823
272,0.6397058823529411,0.6534064344690236,0.23055734805989636,0.6566143068250232,0.8594369534620707,0.5477949670472557,272,0.6397058823529411,0.6764705882352942,0.026654247351199256,0.8704476479327656,189,0.6948529411764706,0.328042328042328,-0.09846448991947165,-18.60978859478014,-0.08450940511958972,-0.4476854877052425,3.1904047223641006,logit_l2,2023,1823
272,0.6360294117647058,0.651619152298787,0.22970982712745738,0.6580099611406053,0.7761850202651676,0.5474779624372514,272,0.6360294117647058,0.6764705882352942,0.024866965180962652,0.8369987233782075,178,0.6544117647058824,0.4044943820224719,-0.033458558163507734,-5.955623353104377,-0.08515880802894046,-0.4824681213266838,2.999604305204386,lightgbm,2023,1823
272,0.6397058823529411,0.6519923835384178,0.22990311031448735,0.6555744075310602,0.8177251409325773,0.5473508187389062,272,0.6397058823529411,0.6764705882352942,0.025240196420593497,0.8602427082478548,191,0.7022058823529411,0.36649214659685864,-0.05720832843555087,-10.926790731190216,-0.12204626784384656,-0.5454498177844772,3.0809299310948677,random_forest,2023,1823
272,0.6397058823529411,0.652375920101986,0.23004524205069868,0.6588583000383121,0.8081466317222836,0.5438032347406029,272,0.6397058823529411,0.6764705882352942,0.02562373298416165,0.8710949599183289,182,0.6691176470588235,0.3516483516483517,-0.07474319152448486,-13.603260857456243,-0.11395564897422532,-0.504573328218141,3.0783392655076613,mlp,2023,1823
272,0.6323529411764706,0.6549889385504716,0.23107854052050453,0.6490613540583439,0.8549305432054932,0.5424768508849291,272,0.6323529411764706,0.6764705882352942,0.028236751432647256,0.8570383977981927,180,0.6617647058823529,0.3277777777777778,-0.0995669471866001,-17.922050493588017,-0.12382979622052097,-0.5475876616163151,3.272270574793572,gbm_elo_offset,2023,1823
272,0.6433823529411765,0.654714950408607,0.23114454248533986,0.651962125773083,0.8475206513200095,0.5479233980779822,272,0.6433823529411765,0.6764705882352942,0.027962763290782733,0.8704110374141034,184,0.6764705882352942,0.30978260869565216,-0.16038167269777617,-29.510227776390813,-0.13633980580225907,-0.5805425052678748,3.1836340227193984,margin_ridge,2023,1823
272,0.6397058823529411,0.6549205103308097,0.23121949366628258,0.6545618740079908,0.7601726268856005,0.5476745767626231,272,0.6397058823529411,0.6764705882352942,0.028168323212985347,0.8301407482309002,191,0.7022058823529411,0.4031413612565445,-0.029541819105820967,-5.642487449211805,-0.11659873786937934,-0.5762717199847722,2.9793951707960664,margin_gbm,2023,1823
272,0.6507352941176471,0.6518185443592426,0.22981146598985966,0.6576542061189863,0.8420221888991535,0.5463574012413643,272,0.6507352941176471,0.6764705882352942,0.025066357241418258,0.8668534530396761,181,0.6654411764705882,0.3425414364640884,-0.08444883517894614,-15.285239167389252,-0.1270212424759821,-0.5408394147272974,3.1628475024834977,ensemble,2023,1823
272,0.6397058823529411,0.6549664255503236,0.23107225059061137,0.6533851458595589,0.805802732951481,0.5454099166213099,272,0.6397058823529411,0.6764705882352942,0.02821423843249926,0.8714085257750536,184,0.6764705882352942,0.33152173913043476,-0.12293947560193955,-22.620863510756877,-0.15730959803938183,-0.597596041615621,3.1248076681150976,ensemble_elo,2023,1823
256,0.65625,0.6148388842903931,0.21253353645314324,0.7293858575972596,1.193033099543904,0.5391825470979785,256,0.65625,0.70703125,0.02712684540107624,0.8155592631165818,181,0.70703125,0.39779005524861877,-0.06941495216953752,-12.564106342686292,-0.07174840928726325,-0.4423932302837782,2.9527544915678847,elo,2024,2095
256,0.70703125,0.5877120388893169,0.20045224170929637,0.7622033276241742,1.3460235563984473,0.5418975716450438,256,0.70703125,0.70703125,0.0,1.0,0,,,,,,,,market,2024,2095
256,0.6640625,0.6263001795796974,0.21796191157719724,0.7228407144604845,1.525618679856279,0.5400987106707471,256,0.6640625,0.70703125,0.038588140690380524,0.6902586454949889,210,0.8203125,0.3523809523809524,-0.09670995635144237,-20.309090833802898,-0.08559414047183737,-0.5921672284768921,3.130755795290326,log5_wpct,2024,2095
256,0.69921875,0.6253211829316522,0.2172764398324887,0.721433814533888,1.3743615715829067,0.5443307484353093,256,0.69921875,0.70703125,0.037609144042335285,0.8229089256863324,178,0.6953125,0.3146067415730337,-0.16266590814801607,-28.95453165034686,-0.18903566605159214,-0.7080843114591702,3.277939582955861,logit_l2,2024,2095
256,0.6796875,0.6228346612339064,0.2162413518491948,0.714766332273061,1.131872500254312,0.5465816938165367,256,0.6796875,0.70703125,0.035122622344589516,0.7994921906829964,193,0.75390625,0.39896373056994816,-0.13415544713507788,-25.892001297070028,-0.12555463147021992,-0.6250903195163101,2.9292161810999673,lightgbm,2024,2095
256,0.6875,0.6198945771839225,0.2147992672809228,0.7200880841693174,1.2708459690760985,0.5456894151051548,256,0.6875,0.70703125,0.0321825382946056,0.8207890425846193,186,0.7265625,0.3655913978494624,-0.1514585919898109,-28.17129811010483,-0.14652112008961676,-0.6369801008877225,3.0529484694028706,random_forest,2024,2095
256,0.625,0.6571630617398221,0.23126600450940155,0.6680327868852458,0.8412864631812327,0.5427511679579943,256,0.625,0.70703125,0.0694510228505052,0.6945159818309495,197,0.76953125,0.3401015228426396,-0.17442043832399481,-34.36082634982698,-0.2740578037711531,-0.877163060690218,3.054513403075889,mlp,2024,2095
256,0.65625,0.6251362765156121,0.21758694205845272,0.7143381453388794,1.2785297274305145,0.5397968950603732,256,0.65625,0.70703125,0.03742423762629521,0.8045549802938925,179,0.69921875,0.33519553072625696,-0.15608501884646428,-27.939218373517104,-0.16322619577002617,-0.6781529523079268,3.179153961133926,gbm_elo_offset,2024,2095
256,0.68359375,0.6296716312036115,0.21934065452108364,0.7142769757768535,1.3210739832666054,0.5466294936704801,256,0.68359375,0.70703125,0.04195959231429458,0.8247258190828702,185,0.72265625,0.3027027027027027,-0.20285572865143614,-37.528309800515686,-0.23060205157233482,-0.770557208399403,3.2284028448725417,margin_ridge,2024,2095
256,0.671875,0.627559983881846,0.21823364118017313,0.7084046978223637,1.1245376362293782,0.5488952055682702,256,0.671875,0.70703125,0.03984794499252908,0.7932590836934478,197,0.76953125,0.39086294416243655,-0.11695688498505262,-23.040506342055366,-0.13204307026010065,-0.6461593279713492,2.9672402029911558,margin_gbm,2024,2095
