feature,tau_s,median_up,median_down,cliffs_up_vs_down,n_up,n_down
near_imbalance,-2.6,0.0,0.0,0.0668195843914694,313,117
near_imbalance,-2.4,0.0,0.0,0.03836596488353683,313,117
near_imbalance,-2.2,0.0,0.0,0.0018295513503181482,313,117
near_imbalance,-2.0,0.0,0.0,-0.008082794025286,313,117
near_imbalance,-1.8,0.0,0.0,0.0031129679691979106,313,117
near_imbalance,-1.6,0.0,0.0,-0.03437918134403761,313,117
near_imbalance,-1.4,0.0,0.0,-0.005133666475519494,313,117
near_imbalance,-1.2,0.0,0.0,0.030310477594822638,313,117
near_imbalance,-1.0,0.0,0.0,0.052237787062068275,313,117
near_imbalance,-0.8,0.0,0.0,0.07378280221730704,313,117
near_imbalance,-0.6,0.0,0.0,0.03686409437208149,313,117
near_imbalance,-0.4,0.0,0.0,0.05813604216160129,313,117
near_imbalance,-0.2,0.0,0.0,0.10215450151552385,313,117
near_imbalance,0.0,0.0,0.0,0.06190437180852526,313,117
depth_imbalance,-15.0,-0.4840184152126312,-0.13087643682956696,-0.3053712350836951,313,117
depth_imbalance,-14.8,-0.48707282543182373,-0.1699773520231247,-0.3049343272985445,313,117
depth_imbalance,-14.6,-0.48977699875831604,-0.20353013277053833,-0.3026951748996477,313,117
depth_imbalance,-14.4,-0.4840184152126312,-0.16917432844638824,-0.2872941754730892,313,117
depth_imbalance,-14.2,-0.4738081991672516,-0.15849614143371582,-0.27762759072663223,313,117
depth_imbalance,-14.0,-0.46604031324386597,-0.16917432844638824,-0.26501187843040874,313,117
depth_imbalance,-13.8,-0.46604031324386597,-0.21044480800628662,-0.25032085415471994,313,117
depth_imbalance,-13.6,-0.47780418395996094,-0.23812466859817505,-0.2233964118948144,313,117
depth_imbalance,-13.4,-0.46237802505493164,-0.1782994121313095,-0.2566014035662598,313,117
depth_imbalance,-13.2,-0.44948610663414,-0.20170100033283234,-0.2377597553316403,313,117
depth_imbalance,-13.0,-0.44948610663414,-0.24769923090934753,-0.2347014008355861,313,117
depth_imbalance,-12.8,-0.43316444754600525,-0.24409672617912292,-0.22487097566969771,313,117
depth_imbalance,-12.6,-0.42834627628326416,-0.26924407482147217,-0.1997487780235384,313,117
depth_imbalance,-12.4,-0.44288545846939087,-0.26356714963912964,-0.20460937713333882,313,117
depth_imbalance,-12.2,-0.46537497639656067,-0.26356714963912964,-0.2119275825346113,313,117
depth_imbalance,-12.0,-0.46303340792655945,-0.24011579155921936,-0.2274924223806013,313,117
depth_imbalance,-11.8,-0.46537497639656067,-0.26356714963912964,-0.22274105021708857,313,117
depth_imbalance,-11.6,-0.4530484974384308,-0.23814135789871216,-0.23590289724475033,313,117
depth_imbalance,-11.4,-0.46246790885925293,-0.2303278148174286,-0.24993855984271318,313,117
depth_imbalance,-11.2,-0.4548225402832031,-0.2303278148174286,-0.24120040413970123,313,117
depth_imbalance,-11.0,-0.4721345901489258,-0.2181321680545807,-0.2706370661642227,313,117
depth_imbalance,-10.8,-0.46537497639656067,-0.2303278148174286,-0.254362251167363,313,117
depth_imbalance,-10.6,-0.46537497639656067,-0.22911924123764038,-0.2653941727424155,313,117
depth_imbalance,-10.4,-0.4598428010940552,-0.21327322721481323,-0.259659758062314,313,117
depth_imbalance,-10.2,-0.46537497639656067,-0.21327322721481323,-0.25665601703940366,313,117
depth_imbalance,-10.0,-0.49891844391822815,-0.18481087684631348,-0.2853280904399115,313,117
depth_imbalance,-9.8,-0.4896541237831116,-0.19954045116901398,-0.2671418038830179,313,117
depth_imbalance,-9.6,-0.48765861988067627,-0.21441030502319336,-0.2746238497037219,313,117
depth_imbalance,-9.4,-0.4896541237831116,-0.23989337682724,-0.22285027716337624,313,117
depth_imbalance,-9.2,-0.4935615658760071,-0.23953211307525635,-0.23863357090194148,313,117
depth_imbalance,-9.0,-0.5041807293891907,-0.2501471936702728,-0.24267496791458454,313,117
depth_imbalance,-8.8,-0.5104533433914185,-0.26029714941978455,-0.2151497774500969,313,117
depth_imbalance,-8.6,-0.513392984867096,-0.2501471936702728,-0.21613281996668576,313,117
depth_imbalance,-8.4,-0.5187828540802002,-0.180959552526474,-0.26162584309549164,313,117
depth_imbalance,-8.2,-0.5089625716209412,-0.26845797896385193,-0.23093307118866224,313,117
depth_imbalance,-8.0,-0.524393618106842,-0.2299366146326065,-0.244695666420906,313,117
depth_imbalance,-7.8,-0.5104533433914185,-0.2535190284252167,-0.20389940198246903,313,117
depth_imbalance,-7.6,-0.5193272233009338,-0.2535190284252167,-0.21023456486715275,313,117
depth_imbalance,-7.4,-0.5412309765815735,-0.2663133442401886,-0.21678818164441171,313,117
depth_imbalance,-7.2,-0.5443158149719238,-0.2513689398765564,-0.22803855711203957,313,117
depth_imbalance,-7.0,-0.5980945229530334,-0.2724112868309021,-0.2102891783402966,313,117
depth_imbalance,-6.8,-0.6072125434875488,-0.27347031235694885,-0.2134021463094945,313,117
depth_imbalance,-6.6,-0.6072125434875488,-0.27797141671180725,-0.2166243412249802,313,117
depth_imbalance,-6.4,-0.6316558122634888,-0.27797141671180725,-0.25589142841539003,313,117
depth_imbalance,-6.2,-0.6316558122634888,-0.3107184171676636,-0.22465252177712247,313,117
depth_imbalance,-6.0,-0.641567051410675,-0.3107184171676636,-0.21629666038611728,313,117
depth_imbalance,-5.8,-0.6316558122634888,-0.3410634994506836,-0.21465825619180257,313,117
depth_imbalance,-5.6,-0.6554774641990662,-0.3410634994506836,-0.22465252177712247,313,117
depth_imbalance,-5.4,-0.6521328091621399,-0.3291565179824829,-0.23481062778187378,313,117
depth_imbalance,-5.2,-0.6648527383804321,-0.3449002206325531,-0.2075038912099615,313,117
depth_imbalance,-5.0,-0.6662418842315674,-0.4213663637638092,-0.2053193522842085,313,117
depth_imbalance,-4.8,-0.6833213567733765,-0.4096215069293976,-0.20455476366019498,313,117
depth_imbalance,-4.6,-0.6739718914031982,-0.4506673216819763,-0.18817072171704763,313,117
depth_imbalance,-4.4,-0.6833213567733765,-0.42270660400390625,-0.21864503973130167,313,117
depth_imbalance,-4.2,-0.6891980171203613,-0.44912049174308777,-0.19838344119494278,313,117
depth_imbalance,-4.0,-0.6899923086166382,-0.4694960415363312,-0.20482783102591406,313,117
depth_imbalance,-3.8,-0.6735252141952515,-0.5393465757369995,-0.17522732858196122,313,117
depth_imbalance,-3.6,-0.6735252141952515,-0.5588387846946716,-0.15491111657245837,313,117
depth_imbalance,-3.4,-0.6891980171203613,-0.5768365263938904,-0.16086398514513534,313,117
depth_imbalance,-3.2,-0.6891980171203613,-0.5862948894500732,-0.15458343573359545,313,117
depth_imbalance,-3.0,-0.7251614332199097,-0.6297241449356079,-0.13929166325332465,313,117
depth_imbalance,-2.8,-0.7480679154396057,-0.6190516948699951,-0.16528767646978515,313,117
depth_imbalance,-2.6,-0.7596072554588318,-0.6020908355712891,-0.1688921656972775,313,117
depth_imbalance,-2.4,-0.74971604347229,-0.6245884895324707,-0.1678545097075449,313,117
depth_imbalance,-2.2,-0.7902637124061584,-0.6344593167304993,-0.17577346331339938,313,117
depth_imbalance,-2.0,-0.803169846534729,-0.6429042816162109,-0.15021435788208948,313,117
