slug,ts,signed,market_type,lag_s,null_lag_s
mlb-bal-tor-2026-09-12,1789242515200.0,-1,moneyline,62.244,158.67727465820312
mlb-bal-tor-2026-09-12,1789242686000.0,-1,moneyline,165.915,102.62175512695312
mlb-bal-tor-2026-09-12,1789242979400.0,-1,moneyline,19.694,239.27414038085936
mlb-bal-tor-2026-09-12,1789243934000.0,1,moneyline,35.081,113.05738012695312
mlb-bal-tor-2026-09-12,1789244073800.0,-1,moneyline,119.488,86.24082788085937
mlb-bal-tor-2026-09-12,1789244106200.0,1,moneyline,21.761,58.1011884765625
mlb-bal-tor-2026-09-12,1789244294600.0,1,moneyline,168.18,135.57968310546875
mlb-bal-tor-2026-09-12,1789245153200.0,-1,moneyline,152.005,30.69372412109375
mlb-bal-tor-2026-09-12,1789245350200.0,-1,moneyline,69.38,
mlb-bal-tor-2026-09-12,1789246148800.0,-1,moneyline,238.664,106.17879174804688
mlb-bal-tor-2026-09-12,1789246220600.0,-1,moneyline,65.452,97.472205078125
mlb-bal-tor-2026-09-12,1789246614600.0,-1,moneyline,252.666,222.15899951171875
mlb-bal-tor-2026-09-12,1789246705400.0,-1,moneyline,80.166,135.0385419921875
mlb-bal-tor-2026-09-12,1789248142000.0,1,moneyline,221.597,170.64446435546876
mlb-bal-tor-2026-09-12,1789248172000.0,-1,moneyline,251.597,66.46152856445312
mlb-bal-tor-2026-09-12,1789240049400.0,-1,spread,,8.65305615234375
mlb-bal-tor-2026-09-12,1789240102800.0,-1,spread,,95.90578051757812
mlb-bal-tor-2026-09-12,1789240222000.0,1,spread,92.048,33.69637622070312
mlb-bal-tor-2026-09-12,1789240252000.0,1,spread,122.048,21.24445263671875
mlb-bal-tor-2026-09-12,1789240285000.0,1,spread,155.048,28.6317587890625
mlb-bal-tor-2026-09-12,1789240319400.0,1,spread,15.604,41.801349853515624
mlb-bal-tor-2026-09-12,1789240349400.0,1,spread,45.604,148.0104558105469
mlb-bal-tor-2026-09-12,1789240437400.0,-1,spread,30.309,64.09449291992188
mlb-bal-tor-2026-09-12,1789240500200.0,-1,spread,33.713,86.53399487304688
mlb-bal-tor-2026-09-12,1789240537400.0,1,spread,70.913,204.34936694335937
mlb-bal-tor-2026-09-12,1789240569000.0,-1,spread,102.513,182.69009594726563
mlb-bal-tor-2026-09-12,1789240607200.0,1,spread,140.713,45.99882470703125
mlb-bal-tor-2026-09-12,1789240637200.0,1,spread,170.713,29.212447021484376
mlb-bal-tor-2026-09-12,1789240667200.0,1,spread,200.713,49.73484448242188
mlb-bal-tor-2026-09-12,1789240698600.0,-1,spread,232.113,170.66722998046876
mlb-bal-tor-2026-09-12,1789240743600.0,1,spread,4.289,171.92819580078125
mlb-bal-tor-2026-09-12,1789240805400.0,1,spread,66.089,36.40882470703125
mlb-bal-tor-2026-09-12,1789240840000.0,-1,spread,100.689,8.004457763671875
mlb-bal-tor-2026-09-12,1789240870000.0,-1,spread,130.689,23.04530517578125
mlb-bal-tor-2026-09-12,1789241017200.0,1,spread,134.59,42.08023828125
mlb-bal-tor-2026-09-12,1789241047200.0,1,spread,164.59,8.536226806640625
mlb-bal-tor-2026-09-12,1789241088800.0,1,spread,206.19,1.3531357421875
mlb-bal-tor-2026-09-12,1789241124200.0,1,spread,19.531,228.44045190429688
mlb-bal-tor-2026-09-12,1789241154200.0,1,spread,49.531,6.55272021484375
mlb-bal-tor-2026-09-12,1789241184200.0,-1,spread,79.531,159.8092568359375
mlb-bal-tor-2026-09-12,1789241214200.0,1,spread,27.397,78.96860180664062
mlb-bal-tor-2026-09-12,1789241296200.0,-1,spread,43.667,117.79060424804688
mlb-bal-tor-2026-09-12,1789241350600.0,1,spread,34.266,27.222726806640626
mlb-bal-tor-2026-09-12,1789241398000.0,1,spread,39.106,46.871557373046876
mlb-bal-tor-2026-09-12,1789241444600.0,-1,spread,85.706,119.499140625
mlb-bal-tor-2026-09-12,1789241498600.0,1,spread,139.706,25.344718017578124
mlb-bal-tor-2026-09-12,1789241530000.0,-1,spread,171.106,97.58555932617188
mlb-bal-tor-2026-09-12,1789241618600.0,-1,spread,64.478,107.00137670898438
mlb-bal-tor-2026-09-12,1789241651000.0,1,spread,96.878,30.702546875
mlb-bal-tor-2026-09-12,1789241686000.0,-1,spread,131.878,50.71766845703125
mlb-bal-tor-2026-09-12,1789241716000.0,1,spread,161.878,84.10754931640625
mlb-bal-tor-2026-09-12,1789241746000.0,1,spread,29.622,7.104696044921875
mlb-bal-tor-2026-09-12,1789241784600.0,1,spread,68.222,123.3400283203125
mlb-bal-tor-2026-09-12,1789241910600.0,-1,spread,118.952,27.421764404296876
