slug,series,market_type,n_bottom,n_top,p_up_bottom,p_up_top,diff
mlb-col-det-2026-09-11,mlb-col-det-2026-09-11|spread|-2.5|52654386189664482606955232265145734895519291324719259640681521316804563205398,spread,30,55,0.3333333333333333,0.32727272727272727,0.006060606060606044
mlb-col-det-2026-09-12,mlb-col-det-2026-09-12|moneyline|None|32400354811020468444989410749511250097085898452538330185839317606120110088418,moneyline,110,49,0.4727272727272727,0.42857142857142855,0.04415584415584417
mlb-col-det-2026-09-12,mlb-col-det-2026-09-12|spread|-1.5|28376462789612920311838038922709827996505213277278540828608040174748928504136,spread,123,94,0.3983739837398374,0.5,-0.1016260162601626
mlb-col-det-2026-09-12,mlb-col-det-2026-09-12|spread|-1.5|2917991859111930325572302755859438211107303181882012899830843873928024453819,spread,141,89,0.5531914893617021,0.4606741573033708,0.09251733205833135
mlb-col-det-2026-09-12,mlb-col-det-2026-09-12|spread|-2.5|58245170011311872532849142837360723471200537059727282289972338196831814852716,spread,119,105,0.47058823529411764,0.5047619047619047,-0.034173669467787104
mlb-col-det-2026-09-12,mlb-col-det-2026-09-12|spread|-2.5|64995920572361776334330678269959607979182969893359777214396513238387669410227,spread,135,78,0.5481481481481482,0.5641025641025641,-0.015954415954415935
mlb-col-det-2026-09-13,mlb-col-det-2026-09-13|spread|-1.5|75060390213555618447956601750863584622974912210084518521571215735817801655335,spread,73,54,0.410958904109589,0.5925925925925926,-0.18163368848300354
mlb-col-det-2026-09-13,mlb-col-det-2026-09-13|spread|-2.5|74469239880727245277500109423308086193534064778783679209710369582323116347754,spread,99,68,0.5454545454545454,0.45588235294117646,0.08957219251336895
mlb-col-nyy-2026-09-10,mlb-col-nyy-2026-09-10|spread|-1.5|57204261696786427054382519131868855003960916240426686299773013744894175935814,spread,24,56,0.4583333333333333,0.375,0.08333333333333331
mlb-col-nyy-2026-09-10,mlb-col-nyy-2026-09-10|spread|-1.5|90591000289261577431139660938472180617817122190474276709834243165900582773073,spread,67,95,0.44776119402985076,0.5263157894736842,-0.07855459544383342
mlb-col-nyy-2026-09-10,mlb-col-nyy-2026-09-10|spread|-2.5|52634623999725473657369913830196309932927994706594273867350514252667206832701,spread,86,84,0.5581395348837209,0.5119047619047619,0.04623477297895906
mlb-cws-min-2026-08-28,mlb-cws-min-2026-08-28|moneyline|None|6875553711542295414684427946510561501674955179844791776146015119389843065209,moneyline,51,27,0.47058823529411764,0.5555555555555556,-0.08496732026143794
mlb-cws-min-2026-08-28,mlb-cws-min-2026-08-28|spread|-1.5|56563668415241685780605945190640795819512780773196825519593449349854500429903,spread,81,83,0.5925925925925926,0.5421686746987951,0.05042391789379741
mlb-cws-min-2026-08-28,mlb-cws-min-2026-08-28|spread|-1.5|98693699646090714315430850640253653596011875606532210999265177336772945307635,spread,65,64,0.46153846153846156,0.453125,0.008413461538461564
mlb-cws-min-2026-08-28,mlb-cws-min-2026-08-28|spread|-2.5|43904072825478902727909645302205595819820362799169051728883077061939595416795,spread,84,87,0.5595238095238095,0.5862068965517241,-0.026683087027914554
