feature,tau_s,median_jump,median_ctrl,cliffs_delta,n_jump,n_ctrl
spread_ticks,-14.4,3.0000001192092896,2.0000011920928955,0.11053243574051397,430,380
spread_ticks,-14.2,3.0000001192092896,2.0000011920928955,0.10463280293757649,430,380
spread_ticks,-14.0,3.0000001192092896,2.0000011920928955,0.10774785801713582,430,380
spread_ticks,-13.8,3.0,2.0000011920928955,0.09972460220318236,430,380
spread_ticks,-13.6,2.999999523162842,2.0000011920928955,0.09554467564259483,430,380
spread_ticks,-13.4,2.999999165534973,2.0000011920928955,0.09337821297429616,430,380
spread_ticks,-13.2,2.999999523162842,2.0000011920928955,0.0913708690330477,430,380
spread_ticks,-13.0,2.999999523162842,2.0000011920928955,0.09111383108935134,430,380
spread_ticks,-12.8,2.9999988079071045,2.0000011920928955,0.08365361077111388,430,380
spread_ticks,-12.6,2.999997138977051,2.0000011920928955,0.07586291309669524,430,380
spread_ticks,-12.4,2.999997138977051,2.0000011920928955,0.07180538555691562,430,380
spread_ticks,-12.2,2.999999523162842,2.0000011920928955,0.07464504283965723,430,380
spread_ticks,-12.0,2.999997138977051,2.0000011920928955,0.06515299877600977,430,380
spread_ticks,-11.8,2.999997138977051,2.0000011920928955,0.05724602203182383,430,380
spread_ticks,-11.6,2.999997138977051,2.0000011920928955,0.06377600979192177,430,380
spread_ticks,-11.4,2.999997138977051,2.0000011920928955,0.061077111383109006,430,380
spread_ticks,-11.2,2.999997138977051,2.0000011920928955,0.06633414932680548,430,380
spread_ticks,-11.0,2.999997138977051,2.0000011920928955,0.06671970624235013,430,380
spread_ticks,-10.8,2.999997138977051,2.0000011920928955,0.08365973072215427,430,380
spread_ticks,-10.6,2.9999979734420776,2.0000011920928955,0.08604039167686661,430,380
spread_ticks,-10.4,2.999997138977051,2.0000011920928955,0.09452876376988995,430,380
spread_ticks,-10.2,2.999997138977051,2.0000011920928955,0.09526315789473694,430,380
spread_ticks,-10.0,2.9999988079071045,2.0000011920928955,0.09910648714810288,430,380
spread_ticks,-9.8,2.9999988079071045,2.0000011920928955,0.10011627906976739,430,380
spread_ticks,-9.6,2.9999988079071045,2.0000011920928955,0.10168298653610774,430,380
spread_ticks,-9.4,2.999999165534973,2.0000011920928955,0.0970195838433292,430,380
spread_ticks,-9.2,2.999999165534973,2.0000011920928955,0.0988494492044063,430,380
spread_ticks,-9.0,2.999999523162842,2.0000011920928955,0.09577111383108927,430,380
spread_ticks,-8.8,2.999999523162842,2.0000011920928955,0.09953488372093022,430,380
spread_ticks,-8.6,3.000000238418579,2.0000011920928955,0.10464504283965725,430,380
spread_ticks,-8.4,3.000000238418579,2.00000262260437,0.10916156670746635,430,380
spread_ticks,-8.2,3.000000238418579,2.0000011920928955,0.11471848225214187,430,380
spread_ticks,-8.0,3.000000238418579,2.0000011920928955,0.13176866585067315,430,380
spread_ticks,-7.8,3.000000238418579,2.0000011920928955,0.13209302325581396,430,380
spread_ticks,-7.6,3.000000238418579,2.00000262260437,0.1399999999999999,430,380
spread_ticks,-7.4,3.000000238418579,2.0000040531158447,0.13941248470012235,430,380
spread_ticks,-7.2,3.000000238418579,2.0000040531158447,0.1628518971848225,430,380
spread_ticks,-7.0,3.000000238418579,2.0000011920928955,0.1818421052631578,430,380
spread_ticks,-6.8,3.0000007152557373,2.0000040531158447,0.1797368421052632,430,380
spread_ticks,-6.6,3.200002074241638,2.3000000715255737,0.18826805385556922,430,380
spread_ticks,-6.4,3.9999992847442627,2.0000040531158447,0.2174724602203182,430,380
spread_ticks,-6.2,3.9999992847442627,2.0000040531158447,0.22469400244798043,430,380
spread_ticks,-6.0,3.9999996423721313,2.200000047683716,0.23365973072215418,430,380
spread_ticks,-5.8,4.000000953674316,2.0000040531158447,0.24323133414932685,430,380
spread_ticks,-5.6,4.000002384185791,2.0000040531158447,0.2560587515299877,430,380
spread_ticks,-5.4,4.000002384185791,2.0000040531158447,0.26315177478580165,430,380
spread_ticks,-5.2,4.350001096725464,2.0000040531158447,0.2757343941248469,430,380
spread_ticks,-5.0,4.949997901916504,2.0000040531158447,0.27096083231334145,430,380
spread_ticks,-4.8,5.0,2.0000040531158447,0.2808996328029376,430,380
spread_ticks,-4.6,5.000001430511475,2.0000040531158447,0.29113219094247245,430,380
spread_ticks,-4.4,5.000001430511475,2.00000262260437,0.3036474908200735,430,380
spread_ticks,-4.2,6.0,2.0000040531158447,0.3018482252141983,430,380
spread_ticks,-4.0,6.0,2.0000011920928955,0.3213647490820073,430,380
spread_ticks,-3.8,5.999999761581421,2.0000011920928955,0.32345777233782136,430,380
spread_ticks,-3.6,6.0,2.0000011920928955,0.3279130966952264,430,380
spread_ticks,-3.4,6.000000476837158,2.0000011920928955,0.3500795593635251,430,380
spread_ticks,-3.2,6.000000476837158,2.0000011920928955,0.3655263157894737,430,380
spread_ticks,-3.0,6.1000001430511475,2.0000011920928955,0.37538555691554465,430,380
spread_ticks,-2.8,6.999999523162842,2.0000011920928955,0.3994920440636476,430,380
spread_ticks,-2.6,7.000000953674316,2.0000011920928955,0.4139963280293757,430,380
spread_ticks,-2.4,7.000002384185791,2.0000011920928955,0.4305018359853121,430,380
spread_ticks,-2.2,8.000001430511475,2.0000011920928955,0.4552692778457772,430,380
spread_ticks,-2.0,8.600000381469727,2.0000011920928955,0.47136474908200743,430,380
spread_ticks,-1.8,8.99999713897705,2.0000011920928955,0.4926744186046512,430,380
spread_ticks,-1.6,9.000000953674316,2.0000011920928955,0.5042778457772339,430,380
spread_ticks,-1.4,10.0,2.0000011920928955,0.5160403916768665,430,380
spread_ticks,-1.2,10.0,2.0000011920928955,0.5281028151774785,430,380
spread_ticks,-1.0,10.00000286102295,2.0000011920928955,0.5457894736842106,430,380
spread_ticks,-0.8,10.500000953674316,2.0000011920928955,0.5731334149326806,430,380
spread_ticks,-0.6,10.999999523162842,2.0000011920928955,0.5901529987760097,430,380
spread_ticks,-0.4,11.000001907348633,2.0000040531158447,0.5995532435740514,430,380
spread_ticks,-0.2,11.999998092651367,2.200000047683716,0.610373317013464,430,380
spread_ticks,0.0,13.0,2.3000000715255737,0.6696756425948593,430,380
spread_ticks,0.2,51.0,2.649999260902405,0.8378090575275399,430,380
spread_ticks,0.4,40.99999809265137,2.649999260902405,0.8009179926560588,430,380
spread_ticks,0.6,36.0,2.1000020503997803,0.7940068703226597,429,380
spread_ticks,0.8,32.0,2.0000040531158447,0.7678996442154338,429,380
spread_ticks,1.0,30.000001907348633,2.0000040531158447,0.7496135443503864,429,380
spread_ticks,1.2,28.0,2.0000040531158447,0.7321739663844926,429,380
spread_ticks,1.4,27.999998092651367,2.0000040531158447,0.7133541896699791,429,380
spread_ticks,1.6,26.000001907348633,2.0000011920928955,0.7069355632070831,428,380
spread_ticks,1.8,24.000001907348633,2.00000262260437,0.6820646827348746,428,380
spread_ticks,2.0,22.94999885559082,2.00000262260437,0.6699704869650762,428,380
spread_ticks,2.2,22.000001907348633,2.0000011920928955,0.6668162813575995,428,380
spread_ticks,2.4,21.500000953674316,2.0000011920928955,0.6457943925233645,428,380
spread_ticks,2.6,20.000001907348633,2.0000011920928955,0.634683964584358,428,380
spread_ticks,2.8,19.000000953674316,2.00000262260437,0.6300049188391539,428,380
spread_ticks,3.0,18.000000953674316,2.00000262260437,0.626026807673389,428,380
spread_ticks,3.2,17.000000953674316,2.0000011920928955,0.6164473684210525,428,380
spread_ticks,3.4,16.5,2.0000011920928955,0.6161645351697,428,380
spread_ticks,3.6,15.500001907348633,2.0000011920928955,0.6027852926709296,428,380
spread_ticks,3.8,14.999998092651367,2.0000011920928955,0.5956591244466305,428,380
spread_ticks,4.0,14.000003337860107,2.0000011920928955,0.5775762420068864,428,380
spread_ticks,4.2,13.0,2.0000011920928955,0.5677816035415642,428,380
spread_ticks,4.4,12.000001430511475,2.0000011920928955,0.5418962124938516,428,380
spread_ticks,4.6,11.000001907348633,2.0000040531158447,0.5316158386620757,428,380
spread_ticks,4.8,10.00000286102295,2.00000262260437,0.5173266109198229,428,380
spread_ticks,5.0,10.000001907348633,2.0000011920928955,0.5036153467781603,428,380
l1_bid_usd,-30.0,130.1750259399414,158.95997619628906,-0.04343941248470007,430,380
l1_bid_usd,-29.8,139.04002380371094,158.95997619628906,-0.03320073439412485,430,380
l1_bid_usd,-29.6,140.00001525878906,153.81000518798828,-0.020416156670746588,430,380
l1_bid_usd,-29.4,148.9899673461914,158.95997619628906,-0.022858017135862885,430,380
l1_bid_usd,-29.2,140.70001220703125,160.15477752685547,-0.03366585067319461,430,380
l1_bid_usd,-29.0,149.99996948242188,164.25152587890625,-0.03354345165238681,430,380
l1_bid_usd,-28.8,148.9899673461914,179.9999542236328,-0.05691554467564264,430,380
l1_bid_usd,-28.6,158.74996948242188,179.9999542236328,-0.05692166462668302,430,380
l1_bid_usd,-28.4,148.9899673461914,164.25152587890625,-0.04541615667074661,430,380
l1_bid_usd,-28.2,154.0,156.95999145507812,-0.02392288861689107,430,380
l1_bid_usd,-28.0,143.989990234375,153.81000518798828,-0.02454100367197065,430,380
l1_bid_usd,-27.8,150.99998474121094,161.49998474121094,-0.04107711138310899,430,380
l1_bid_usd,-27.6,140.00001525878906,159.99996948242188,-0.049730722154222806,430,380
l1_bid_usd,-27.4,135.92501831054688,164.25152587890625,-0.0653427172582619,430,380
l1_bid_usd,-27.2,135.92501831054688,164.25152587890625,-0.06332313341493268,430,380
l1_bid_usd,-27.0,135.92501831054688,159.99996948242188,-0.059161566707466307,430,380
l1_bid_usd,-26.8,130.00001525878906,158.95997619628906,-0.07017747858017132,430,380
l1_bid_usd,-26.6,128.58001708984375,163.29499053955078,-0.06960832313341492,430,380
l1_bid_usd,-26.4,135.92501831054688,172.62000274658203,-0.07243574051407586,430,380
l1_bid_usd,-26.2,139.04002380371094,176.9399871826172,-0.07440024479804164,430,380
l1_bid_usd,-26.0,123.58001708984375,179.9999542236328,-0.09388616891064872,430,380
l1_bid_usd,-25.8,128.58001708984375,181.9270782470703,-0.1047490820073439,430,380
l1_bid_usd,-25.6,128.58001708984375,180.71997833251953,-0.10561811505507956,430,380
