precision,accuracy,ev_per_trade,max_trades,max_total
0.3,0.7,-1.284148195035913,6020,-7730.572134116196
0.3,0.75,-1.2015243831320521,6020,-7233.176786454954
0.3,0.8,-1.1189005712281908,6020,-6735.781438793709
0.3,0.85,-1.03627675932433,6020,-6238.386091132467
0.3,0.9,-0.953652947420469,6020,-5740.990743471223
0.3,0.95,-0.8710291355166083,6020,-5243.595395809982
0.3,1.0,-0.7884053236127473,6020,-4746.2000481487385
0.3425,0.5,-1.5381595179776317,5272,-8110.703910854314
0.3425,0.55,-1.4534126208487823,5272,-7663.834140884382
0.3425,0.6,-1.368665723719933,5272,-7216.964370914448
0.3425,0.65,-1.2839188265910835,5272,-6770.094600944515
0.3425,0.7,-1.1991719294622345,5272,-6323.224830974585
0.3425,0.75,-1.1144250323333849,5272,-5876.35506100465
0.3425,0.8,-1.0296781352045352,5272,-5429.485291034716
0.3425,0.85,-0.944931238075686,5272,-4982.615521064785
0.3425,0.9,-0.8601843409468366,5272,-4535.745751094852
0.3425,0.95,-0.7754374438179875,5272,-4088.8759811249206
0.3425,1.0,-0.6906905466891378,5272,-3642.006211154986
0.4,0.5,-1.4346812669484743,4515,-6477.585920272361
0.4,0.55,-1.3470619603975817,4515,-6081.984751195082
0.4,0.6,-1.2594426538466892,4515,-5686.383582117802
0.4,0.65,-1.1718233472957966,4515,-5290.7824130405215
0.4,0.7,-1.0842040407449043,4515,-4895.181243963243
0.4,0.75,-0.9965847341940116,4515,-4499.580074885963
0.4,0.8,-0.9089654276431187,4515,-4103.978905808681
0.4,0.85,-0.8213461210922265,4515,-3708.377736731403
0.4,0.9,-0.7337268145413338,4515,-3312.776567654122
0.4,0.95,-0.6461075079904415,4515,-2917.1753985768432
0.4,1.0,-0.5584882014395488,4515,-2521.574229499563
0.6,0.5,-1.0747569155427095,3010,-3235.0183157835554
0.6,0.55,-0.9771466196977535,3010,-2941.211325290238
0.6,0.6,-0.8795363238527978,3010,-2647.4043347969214
0.6,0.65,-0.7819260280078421,3010,-2353.5973443036046
0.6,0.7,-0.6843157321628865,3010,-2059.7903538102887
0.6,0.75,-0.5867054363179307,3010,-1765.9833633169715
0.6,0.8,-0.48909514047297475,3010,-1472.176372823654
0.6,0.85,-0.3914848446280192,3010,-1178.3693823303377
0.6,0.9,-0.29387454878306346,3010,-884.562391837021
0.6,0.95,-0.19626425293810773,3010,-590.7554013437043
0.6,1.0,-0.09865395709315183,3010,-296.948410850387
0.716,0.5,-0.8660007917273657,2522,-2184.3539523179084
0.716,0.55,-0.7625957220918531,2522,-1923.5305504160428
0.716,0.6,-0.6591906524563408,2522,-1662.707148514178
0.716,0.65,-0.5557855828208283,2522,-1401.883746612313
0.716,0.7,-0.45238051318531614,2522,-1141.0603447104484
